ID: 0ac9c2df-4e6f-454f-b064-38c3f27c71b2 | Name: Cà phê Robusta Buôn Ma Thuột ☕ | Media: [{"link":"https://m.media-amazon.com/images/I/71R61rEmOOL._SL1500_.jpg","name":"Cà phê Robusta Buôn Ma Thuột ☕","type":"image/jpeg"}]
ID: 733bad42-8b8e-41bf-8f1d-9d90cc1e7f18 | Name: Chè Shan Tuyết cổ thụ 🍃 (Lô 37) | Media: [{"link":"/uploads/ai_auto_9a58c5aab1e22b62c7dab94b22661c12.png","name":"Chè Shan Tuyết cổ thụ 🍃 (Lô 37)","type":"image"}]
ID: c818da11-f8f8-4226-b76f-291f93e6e30e | Name: Mật ong rừng Tràm 🔥 (Lô 84) | Media: [{"link":"/uploads/ai_auto_0be3e11648d9637e9ad7f34f682e02f8.png","name":"Mật ong rừng Tràm 🔥 (Lô 84)","type":"image"}]
ID: 4a2d815b-27fb-4fd8-aa4f-537e4b74a495 | Name: Mật ong rừng Tràm 🔥 (Lô 206) | Media: [{"link":"/uploads/ai_auto_94bbc139912a5922929d2d04772daee8.png","name":"Mật ong rừng Tràm 🔥 (Lô 206)","type":"image"}]
ID: faa48d13-0996-4c4c-81b6-3f94279e6093 | Name: Chè Shan Tuyết cổ thụ 🍃 (Lô 93) | Media: [{"link":"/uploads/ai_auto_b61c3e7450e4aaf7526952587353db67.png","name":"Chè Shan Tuyết cổ thụ 🍃 (Lô 93)","type":"image"}]
ID: d3e77f95-becb-4ec0-9a59-5c27a44a206c | Name: Chè Shan Tuyết cổ thụ 🍃 (Lô 364) | Media: [{"link":"/uploads/ai_auto_1de9d13de2ad174cb52dd5a8cf465534.png","name":"Chè Shan Tuyết cổ thụ 🍃 (Lô 364)","type":"image"}]
ID: af030ec7-b0dd-47c2-8900-93b265371da6 | Name: Mật ong rừng Tràm 🔥 (Lô 54) | Media: [{"link":"/uploads/ai_auto_472559514ff7e28989fcf73ec990f397.png","name":"Mật ong rừng Tràm 🔥 (Lô 54)","type":"image"}]
ID: 549728e2-b74a-4a83-86fe-5b64037addbb | Name: Mật ong rừng Tràm 🔥 (Lô 883) | Media: [{"link":"/uploads/ai_auto_a9e9292dc10b670a4181f2da5576a961.png","name":"Mật ong rừng Tràm 🔥 (Lô 883)","type":"image"}]
ID: 772f76a8-39a7-4b63-bee7-84ec63c9b39f | Name: Chè Shan Tuyết cổ thụ 🍃 (Lô 959) | Media: [{"link":"/uploads/ai_auto_060c5cbac4a6c1f540d840ae9b1ba082.png","name":"Chè Shan Tuyết cổ thụ 🍃 (Lô 959)","type":"image"}]
ID: b65dcf27-e585-4416-b1c9-f552755ecfbd | Name: Sâm Ngọc Linh Kon Tum 🌿 (Lô 923) | Media: [{"link":"/uploads/ai_auto_8fdd9a113abd8316b3ef3543c83ab1fa.png","name":"Sâm Ngọc Linh Kon Tum 🌿 (Lô 923)","type":"image"}]
ID: 58dcbb04-b399-43b8-b041-8dce38b7d0ac | Name: Sâm Ngọc Linh Kon Tum 🌿 (Lô 807) | Media: [{"link":"/uploads/ai_auto_a44dca59a14786765c865800812d9799.png","name":"Sâm Ngọc Linh Kon Tum 🌿 (Lô 807)","type":"image"}]
ID: 39c1354d-4aaf-4dae-96ae-d8c8b219a646 | Name: Bơ sáp Đắk Lắk 🥑 (Lô 978) | Media: [{"link":"/uploads/ai_auto_0aa61c2d06b431d27c851bc364bfd2cd.png","name":"Bơ sáp Đắk Lắk 🥑 (Lô 978)","type":"image"}]
ID: be08ef57-bd9e-48ac-9cf9-7460d1da2aca | Name: Tỏi cô đơn Lý Sơn 🧄 | Media: [{"link":"/uploads/ai_auto_b2eec8401c675a8d6071f0707adc103c.png","name":"Tỏi cô đơn Lý Sơn 🧄","type":"image/jpeg"}]
